Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.13174,-0.0068392,0.24389,0,0,0,25.187,0.54256,0.0048343,-0.065286,1.8021,0.0024824,2.1183,0,0,0,0,0,0,package://smr100_description/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://smr100_description/meshes/base_link.STL,,base_link-1,base_frame,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
swing_arm_left_link,-0.10084,-0.065718,-0.055036,0,0,0,2.7468,0.009653,0.001222,-0.0013751,0.01841,-0.00083399,0.022625,0,0,0,0,0,0,package://smr100_description/meshes/swing_arm_left_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://smr100_description/meshes/swing_arm_left_link.STL,,23044-0300-000_left_swing_arm-1,swing_arm_left_frame,swing_arm_left_axis,swing_arm_left_joint,revolute,0.18079,0.2075,0.139,0,-0.02739,0,base_link,0,1,0,0,0,-0.087267,0.087267,,,,,,,,
wheel_left_link,5.7206E-08,3.3262E-05,-9.2679E-05,0,0,0,4.9554,0.0087272,-4.3288E-09,-2.7053E-08,0.01571,2.8551E-06,0.0087185,0,0,0,0,0,0,package://smr100_description/meshes/wheel_left_link.STL,0.79216,0.79216,0.79216,1,0,0,0,0,0,0,package://smr100_description/meshes/wheel_left_link.STL,,GSTN-150-25H7_754394-1,wheel_left_frame,wheel_left_axis,wheel_left_joint,continuous,-0.1825,0.033,-0.06,0,0.02739,0,swing_arm_left_link,0,1,0,,,,,,,,,,,,
caster_front_left_arm_link,-0.0083903,6.7887E-05,-0.021963,0,0,0,0.11992,0.00011954,2.5959E-07,-3.37E-05,0.00013155,3.8727E-07,0.0001378,0,0,0,0,0,0,package://smr100_description/meshes/caster_front_left_arm_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://smr100_description/meshes/caster_front_left_arm_link.STL,,23044-0300-000_left_caster_arm-2,caster_front_left_arm_frame,caster_front_left_arm_axis,caster_front_left_arm_joint,continuous,0.1825,-0.0135,-0.035,0,0,0,swing_arm_left_link,0,0,1,,,,,,,,,,,,
caster_front_left_wheel_link,9.9956E-06,1.0025E-05,-3.3897E-05,0,0,0,0.10623,5.3146E-05,-1.3417E-08,-1.9842E-09,9.0791E-05,1.1592E-08,5.3158E-05,0,0,0,0,0,0,package://smr100_description/meshes/caster_front_left_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://smr100_description/meshes/caster_front_left_wheel_link.STL,,23044-0300-000_left_caster_wheel-1,caster_front_left_wheel_frame,caster_front_left_wheel_axis,caster_front_left_wheel_joint,continuous,-0.04,0.0005,-0.07,0,0.02739,0,caster_front_left_arm_link,0,1,0,,,,,,,,,,,,
swing_arm_right_link,-0.10084,0.065718,-0.055036,0,0,0,2.7468,0.009653,-0.001222,-0.0013751,0.01841,0.00083399,0.022625,0,0,0,0,0,0,package://smr100_description/meshes/swing_arm_right_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://smr100_description/meshes/swing_arm_right_link.STL,,Mirror23044-0300-000_left_swing_arm-4,swing_arm_right_frame,swing_arm_right_axis,swing_arm_right_joint,continuous,0.18079,-0.2075,0.139,0,-0.02739,0,base_link,0,-1,0,0,0,-0.087267,0.087267,,,,,,,,
wheel_right_link,-5.7206E-08,-3.3262E-05,-9.2679E-05,0,0,0,4.9554,0.0087272,-4.3288E-09,2.7053E-08,0.01571,-2.8551E-06,0.0087185,0,0,0,0,0,0,package://smr100_description/meshes/wheel_right_link.STL,0.79216,0.79216,0.79216,1,0,0,0,0,0,0,package://smr100_description/meshes/wheel_right_link.STL,,GSTN-150-25H7_754394-2,wheel_right_frame,wheel_right_axis,wheel_right_joint,continuous,-0.1825,-0.033,-0.06,0,0.02739,0,swing_arm_right_link,0,-1,0,,,,,,,,,,,,
caster_front_right_arm_link,-0.0083904,-6.7793E-05,-0.021963,0,0,0,0.11992,0.00011954,-2.59E-07,-3.37E-05,0.00013155,-3.8722E-07,0.0001378,0,0,0,0,0,0,package://smr100_description/meshes/caster_front_right_arm_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://smr100_description/meshes/caster_front_right_arm_link.STL,,Mirror23044-0300-000_left_caster_arm-5,caster_front_right_arm_frame,caster_front_right_arm_axis,caster_front_right_arm_joint,continuous,0.1825,0.0135,-0.035,0,0,0,swing_arm_right_link,0,0,1,,,,,,,,,,,,
caster_front_right_wheel_link,9.9956E-06,-1.0025E-05,3.3897E-05,0,0,0,0.10623,5.3146E-05,1.3417E-08,1.9842E-09,9.0791E-05,1.1592E-08,5.3158E-05,0,0,0,0,0,0,package://smr100_description/meshes/caster_front_right_wheel_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://smr100_description/meshes/caster_front_right_wheel_link.STL,,23044-0300-000_left_caster_wheel-4,caster_front_right_wheel_frame,caster_front_right_wheel_axis,caster_front_right_wheel_joint,continuous,-0.04,-0.0005,-0.07,0,0.02739,0,caster_front_right_arm_link,0,-1,0,,,,,,,,,,,,
caster_rear_left_arm_link,-0.0083903,6.7891E-05,-0.021963,0,0,0,0.11992,0.00011954,2.5958E-07,-3.37E-05,0.00013155,3.8728E-07,0.0001378,0,0,0,0,0,0,package://smr100_description/meshes/caster_rear_left_arm_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://smr100_description/meshes/caster_rear_left_arm_link.STL,,23044-0300-000_left_caster_arm-6,caster_rear_left_arm_frame,caster_rear_left_arm_axis,caster_rear_left_arm_joint,continuous,-0.36921,0.194,0.11,0,0,0,base_link,0,0,1,,,,,,,,,,,,
